DayofMonth str,DayOfWeek str,FlightDate int,UniqueCarrier str,AirlineID int,Carrier str,TailNum str,FlightNum int,OriginAirportID int,OriginAirportSeqID int,OriginCityMarketID int,Origin str,OriginCityName str,OriginState str,OriginStateFips int,OriginStateName str,OriginWac int
10,1,20121210,FL,20437,FL,N983AT,102,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
2,7,20121202,AA,19805,AA,N3BKAA,1415,13303,1330303,32467,MIA,MiamiFL,FL,12,Florida,33
15,6,20121215,AS,19930,AS,N708AS,69,12819,1281902,31401,KTN,KetchikanAK,AK,2,Alaska,1
19,3,20121219,US,20355,US,N189UW,1225,10721,1072102,30721,BOS,BostonMA,MA,25,Massachusetts,13
27,4,20121227,MQ,20398,MQ,N933MQ,2993,11298,1129803,30194,DFW,Dallas/FortWorthTX,TX,48,Texas,74
2,7,20121202,DL,19790,DL,N357NW,1057,13487,1348702,31650,MSP,MinneapolisMN,MN,27,Minnesota,63
22,6,20121222,UA,19977,UA,N37290,103,12094,1209402,34699,HDN,HaydenCO,CO,8,Colorado,82
5,3,20121205,OO,20304,OO,N433SW,4635,11977,1197702,31977,GRB,GreenBayWI,WI,55,Wisconsin,45
12,3,20121212,FL,20437,FL,N344AT,415,13232,1323202,30977,MDW,ChicagoIL,IL,17,Illinois,41
17,1,20121217,MQ,20398,MQ,N616MQ,3353,11298,1129803,30194,DFW,Dallas/FortWorthTX,TX,48,Texas,74
1,6,20121201,OO,20304,OO,N679CA,4613,11637,1163703,31637,FAR,FargoND,ND,38,NorthDakota,66
4,2,20121204,EV,20366,EV,N582CA,5325,11433,1143302,31295,DTW,DetroitMI,MI,26,Michigan,43
20,4,20121220,YV,20378,YV,N510MJ,3773,12264,1226402,30852,IAD,WashingtonDC,VA,51,Virginia,38
12,3,20121212,B6,20409,B6,N524JB,1067,10721,1072102,30721,BOS,BostonMA,MA,25,Massachusetts,13
10,1,20121210,WN,19393,WN,N443WN,122,12191,1219102,31453,HOU,HoustonTX,TX,48,Texas,74
22,6,20121222,YV,20378,YV,N921FJ,2780,10423,1042302,30423,AUS,AustinTX,TX,48,Texas,74
30,7,20121230,MQ,20398,MQ,N609MQ,4368,11193,1119302,33105,CVG,CincinnatiOH,KY,21,Kentucky,52
7,5,20121207,UA,19977,UA,N496UA,654,13851,1385103,33851,OKC,OklahomaCityOK,OK,40,Oklahoma,73
2,7,20121202,FL,20437,FL,N315AT,303,11697,1169703,32467,FLL,FortLauderdaleFL,FL,12,Florida,33
6,4,20121206,UA,19977,UA,N410UA,699,12264,1226402,30852,IAD,WashingtonDC,VA,51,Virginia,38
26,3,20121226,EV,20366,EV,N14933,4568,12448,1244803,32448,JAN,Jackson/VicksburgMS,MS,28,Mississippi,53
27,4,20121227,OO,20304,OO,N457SW,7369,13487,1348702,31650,MSP,MinneapolisMN,MN,27,Minnesota,63
13,4,20121213,OO,20304,OO,N938SW,5412,13930,1393002,30977,ORD,ChicagoIL,IL,17,Illinois,41
14,5,20121214,WN,19393,WN,N8603F,361,10821,1082103,30852,BWI,BaltimoreMD,MD,24,Maryland,35
29,6,20121229,B6,20409,B6,N804JB,675,12478,1247802,31703,JFK,NewYorkNY,NY,36,NewYork,22
26,3,20121226,OO,20304,OO,N699BR,6270,14570,1457002,34570,RNO,RenoNV,NV,32,Nevada,85
22,6,20121222,OO,20304,OO,N964SW,6245,11122,1112202,31122,CPR,CasperWY,WY,56,Wyoming,88
7,5,20121207,F9,20436,F9,N932FR,856,14107,1410702,30466,PHX,PhoenixAZ,AZ,4,Arizona,81
14,5,20121214,MQ,20398,MQ,N652MQ,2815,11298,1129803,30194,DFW,Dallas/FortWorthTX,TX,48,Texas,74
19,3,20121219,EV,20366,EV,N13202,5859,13930,1393002,30977,ORD,ChicagoIL,IL,17,Illinois,41
1,6,20121201,WN,19393,WN,N635SW,2069,13204,1320402,31454,MCO,OrlandoFL,FL,12,Florida,33
19,3,20121219,OO,20304,OO,N582SW,5503,14771,1477101,32457,SFO,SanFranciscoCA,CA,6,California,91
27,4,20121227,VX,21171,VX,N841VA,919,12889,1288903,32211,LAS,LasVegasNV,NV,32,Nevada,85
19,3,20121219,WN,19393,WN,N415WN,2886,11697,1169703,32467,FLL,FortLauderdaleFL,FL,12,Florida,33
13,4,20121213,VX,21171,VX,N625VA,69,12264,1226402,30852,IAD,WashingtonDC,VA,51,Virginia,38
6,4,20121206,DL,19790,DL,N678DL,1900,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
4,2,20121204,WN,19393,WN,N734SA,675,14893,1489302,33192,SMF,SacramentoCA,CA,6,California,91
23,7,20121223,DL,19790,DL,N762NC,2277,13930,1393002,30977,ORD,ChicagoIL,IL,17,Illinois,41
9,7,20121209,EV,20366,EV,N977EV,5246,10990,1099002,30990,CHO,CharlottesvilleVA,VA,51,Virginia,38
25,2,20121225,EV,20366,EV,N695CA,5605,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
2,7,20121202,OO,20304,OO,N719SK,6196,11413,1141303,30285,DRO,DurangoCO,CO,8,Colorado,82
30,7,20121230,OO,20304,OO,N815SK,4449,14869,1486903,34614,SLC,SaltLakeCityUT,UT,49,Utah,87
27,4,20121227,OO,20304,OO,N468CA,2951,11413,1141303,30285,DRO,DurangoCO,CO,8,Colorado,82
6,4,20121206,EV,20366,EV,N14925,4554,12266,1226603,31453,IAH,HoustonTX,TX,48,Texas,74
10,1,20121210,DL,19790,DL,N332NB,1330,11057,1105703,31057,CLT,CharlotteNC,NC,37,NorthCarolina,36
5,3,20121205,FL,20437,FL,N309AT,574,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
21,5,20121221,AA,19805,AA,N3BRAA,1616,13303,1330303,32467,MIA,MiamiFL,FL,12,Florida,33
24,1,20121224,US,20355,US,N742PS,1880,13204,1320402,31454,MCO,OrlandoFL,FL,12,Florida,33
31,1,20121231,EV,20366,EV,N14952,4178,13198,1319801,33198,MCI,KansasCityMO,MO,29,Missouri,64
7,5,20121207,FL,20437,FL,N923AT,286,11433,1143302,31295,DTW,DetroitMI,MI,26,Michigan,43
30,7,20121230,WN,19393,WN,N522SW,297,11540,1154003,30615,ELP,ElPasoTX,TX,48,Texas,74
18,2,20121218,EV,20366,EV,N14203,4252,11618,1161802,31703,EWR,NewarkNJ,NJ,34,NewJersey,21
18,2,20121218,WN,19393,WN,N962WN,3387,12889,1288903,32211,LAS,LasVegasNV,NV,32,Nevada,85
13,4,20121213,UA,19977,UA,N570UA,683,13930,1393002,30977,ORD,ChicagoIL,IL,17,Illinois,41
26,3,20121226,MQ,20398,MQ,N680MQ,3534,11057,1105703,31057,CLT,CharlotteNC,NC,37,NorthCarolina,36
14,5,20121214,FL,20437,FL,N354AT,705,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
8,6,20121208,WN,19393,WN,N921WN,3371,12892,1289203,32575,LAX,LosAngelesCA,CA,6,California,91
2,7,20121202,WN,19393,WN,N627SW,1302,10599,1059904,30599,BHM,BirminghamAL,AL,1,Alabama,51
5,1,20121105,AA,19805,AA,N475AA,304,11298,1129803,30194,DFW,Dallas/FortWorthTX,TX,48,Texas,74
20,4,20121220,EV,20366,EV,N26545,4210,12266,1226603,31453,IAH,HoustonTX,TX,48,Texas,74
11,2,20121211,DL,19790,DL,N357NB,2295,14679,1467903,33570,SAN,SanDiegoCA,CA,6,California,91
15,6,20121215,UA,19977,UA,N486UA,624,13871,1387102,33316,OMA,OmahaNE,NE,31,Nebraska,65
16,7,20121216,WN,19393,WN,N934WN,3601,14057,1405702,34057,PDX,PortlandOR,OR,41,Oregon,92
31,1,20121231,MQ,20398,MQ,N525MQ,4601,12953,1295302,31703,LGA,NewYorkNY,NY,36,NewYork,22
7,5,20121207,EV,20366,EV,N972EV,5271,10208,1020803,30208,AGS,AugustaGA,GA,13,Georgia,34
31,1,20121231,US,20355,US,N802AW,496,14107,1410702,30466,PHX,PhoenixAZ,AZ,4,Arizona,81
20,4,20121220,UA,19977,UA,N572UA,799,12266,1226603,31453,IAH,HoustonTX,TX,48,Texas,74
4,2,20121204,MQ,20398,MQ,N3AEMQ,3604,12892,1289203,32575,LAX,LosAngelesCA,CA,6,California,91
5,3,20121205,DL,19790,DL,N675MC,707,13930,1393002,30977,ORD,ChicagoIL,IL,17,Illinois,41
27,4,20121227,DL,19790,DL,N594NW,1992,13487,1348702,31650,MSP,MinneapolisMN,MN,27,Minnesota,63
26,3,20121226,UA,19977,UA,N78501,1626,11618,1161802,31703,EWR,NewarkNJ,NJ,34,NewJersey,21
5,3,20121205,AA,19805,AA,N4UBAA,691,12339,1233904,32337,IND,IndianapolisIN,IN,18,Indiana,42
26,3,20121226,US,20355,US,N945UW,1841,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
5,3,20121205,MQ,20398,MQ,N621MQ,3446,15624,1562401,31504,VPS,ValparaisoFL,FL,12,Florida,33
31,1,20121231,DL,19790,DL,N917DN,1632,13930,1393002,30977,ORD,ChicagoIL,IL,17,Illinois,41
29,6,20121229,WN,19393,WN,N631SW,1796,15304,1530402,33195,TPA,TampaFL,FL,12,Florida,33
26,3,20121226,OO,20304,OO,N874AS,2982,14107,1410702,30466,PHX,PhoenixAZ,AZ,4,Arizona,81
1,6,20121201,UA,19977,UA,N73283,1207,11042,1104202,30647,CLE,ClevelandOH,OH,39,Ohio,44
11,2,20121211,DL,19790,DL,N702TW,120,12478,1247802,31703,JFK,NewYorkNY,NY,36,NewYork,22
8,4,20121108,AA,19805,AA,N561AA,416,13891,1389101,32575,ONT,OntarioCA,CA,6,California,91
3,1,20121203,UA,19977,UA,N73406,1238,14893,1489302,33192,SMF,SacramentoCA,CA,6,California,91
12,3,20121212,DL,19790,DL,N3730B,1061,13204,1320402,31454,MCO,OrlandoFL,FL,12,Florida,33
1,6,20121201,OO,20304,OO,N936SW,5493,13198,1319801,33198,MCI,KansasCityMO,MO,29,Missouri,64
27,4,20121227,EV,20366,EV,N14925,4259,12266,1226603,31453,IAH,HoustonTX,TX,48,Texas,74
31,1,20121231,US,20355,US,N200UU,954,11697,1169703,32467,FLL,FortLauderdaleFL,FL,12,Florida,33
11,2,20121211,EV,20366,EV,N13161,4610,11618,1161802,31703,EWR,NewarkNJ,NJ,34,NewJersey,21
7,5,20121207,US,20355,US,N629AW,285,14107,1410702,30466,PHX,PhoenixAZ,AZ,4,Arizona,81
18,2,20121218,B6,20409,B6,N641JB,1002,12478,1247802,31703,JFK,NewYorkNY,NY,36,NewYork,22
13,4,20121213,DL,19790,DL,N392DA,1831,14057,1405702,34057,PDX,PortlandOR,OR,41,Oregon,92
2,7,20121202,WN,19393,WN,N475WN,2479,12451,1245102,31136,JAX,JacksonvilleFL,FL,12,Florida,33
10,1,20121210,AA,19805,AA,N4WNAA,1304,11638,1163804,31638,FAT,FresnoCA,CA,6,California,91
3,1,20121203,DL,19790,DL,N316NB,2092,11618,1161802,31703,EWR,NewarkNJ,NJ,34,NewJersey,21
21,5,20121221,HA,19690,HA,N479HA,206,12173,1217301,32134,HNL,HonoluluHI,HI,15,Hawaii,2
