DayofMonth str,DayOfWeek str,FlightDate int,UniqueCarrier str,AirlineID int,Carrier str,TailNum str,FlightNum int,OriginAirportID int,OriginAirportSeqID int,OriginCityMarketID int,Origin str,OriginCityName str,OriginState str,OriginStateFips int,OriginStateName str,OriginWac int
19.0,3.0,2.012122E7,B6,20409.0,B6,N265JB,1259.0,10721.0,1072102.0,30721.0,BOS,BostonMA,MA,25.0,Massachusetts,13.0
4.0,2.0,2.0121204E7,MQ,20398.0,MQ,N805MQ,4265.0,14783.0,1478302.0,34783.0,SGF,SpringfieldMO,MO,29.0,Missouri,64.0
2.0,7.0,2.0121202E7,DL,19790.0,DL,N341NW,1569.0,13232.0,1323202.0,30977.0,MDW,ChicagoIL,IL,17.0,Illinois,41.0
27.0,4.0,2.0121228E7,OO,20304.0,OO,N706SK,5582.0,12441.0,1244102.0,32441.0,JAC,JacksonWY,WY,56.0,Wyoming,88.0
21.0,3.0,2.012112E7,AA,19805.0,AA,N3ERAA,402.0,14771.0,1477101.0,32457.0,SFO,SanFranciscoCA,CA,6.0,California,91.0
4.0,2.0,2.0121204E7,B6,20409.0,B6,N348JB,1017.0,10721.0,1072102.0,30721.0,BOS,BostonMA,MA,25.0,Massachusetts,13.0
4.0,2.0,2.0121204E7,AA,19805.0,AA,N525AA,521.0,14492.0,1449202.0,34492.0,RDU,Raleigh/DurhamNC,NC,37.0,NorthCarolina,36.0
30.0,7.0,2.012123E7,AA,19805.0,AA,N5BYAA,530.0,13303.0,1330303.0,32467.0,MIA,MiamiFL,FL,12.0,Florida,33.0
1.0,6.0,2.01212E7,DL,19790.0,DL,N3751B,1219.0,13487.0,1348702.0,31650.0,MSP,MinneapolisMN,MN,27.0,Minnesota,63.0
30.0,7.0,2.012123E7,WN,19393.0,WN,N426WN,3329.0,12889.0,1288903.0,32211.0,LAS,LasVegasNV,NV,32.0,Nevada,85.0
,,2.0121212E7,WN,19393.0,WN,,780.0,10529.0,1052904.0,30529.0,BDL,HartfordCT,CT,9.0,Connecticut,11.0
2.0,7.0,2.0121202E7,UA,19977.0,UA,N489UA,305.0,11292.0,1129202.0,30325.0,DEN,DenverCO,CO,8.0,Colorado,82.0
4.0,2.0,2.0121204E7,OO,20304.0,OO,N224SW,7780.0,14869.0,1486903.0,34614.0,SLC,SaltLakeCityUT,UT,49.0,Utah,87.0
3.0,1.0,2.0121204E7,B6,20409.0,B6,N584JB,983.0,12953.0,1295302.0,31703.0,LGA,NewYorkNY,NY,36.0,NewYork,22.0
15.0,6.0,2.0121216E7,WN,19393.0,WN,N274WN,2006.0,10821.0,1082103.0,30852.0,BWI,BaltimoreMD,MD,24.0,Maryland,35.0
18.0,2.0,2.0121218E7,MQ,20398.0,MQ,N735MQ,3442.0,12891.0,1289102.0,32891.0,LAW,Lawton/FortSillOK,OK,40.0,Oklahoma,73.0
2.0,7.0,2.0121202E7,EV,20366.0,EV,N884AS,,10397.0,1039705.0,30397.0,ATL,AtlantaGA,GA,13.0,Georgia,34.0
19.0,3.0,2.012122E7,AA,19805.0,AA,N3ADAA,1761.0,10821.0,1082103.0,30852.0,BWI,BaltimoreMD,MD,24.0,Maryland,35.0
21.0,5.0,2.012122E7,WN,19393.0,WN,N232WN,4128.0,12191.0,1219102.0,31453.0,HOU,HoustonTX,TX,48.0,Texas,74.0
13.0,2.0,2.0121112E7,AA,19805.0,AA,N4XGAA,430.0,11298.0,1129803.0,30194.0,DFW,Dallas/FortWorthTX,TX,48.0,Texas,74.0
4.0,2.0,2.0121204E7,B6,20409.0,B6,N709JB,157.0,12478.0,1247802.0,31703.0,JFK,NewYorkNY,NY,36.0,NewYork,22.0
22.0,6.0,2.0121222E7,MQ,20398.0,MQ,N637MQ,2885.0,11778.0,1177801.0,31778.0,FSM,FortSmithAR,AR,5.0,Arkansas,71.0
26.0,3.0,2.0121226E7,UA,19977.0,UA,,750.0,14100.0,1410002.0,34100.0,PHL,PhiladelphiaPA,PA,42.0,Pennsylvania,23.0
3.0,1.0,2.0121204E7,MQ,20398.0,MQ,N844MQ,2827.0,11298.0,1129803.0,30194.0,DFW,Dallas/FortWorthTX,TX,48.0,Texas,74.0
10.0,1.0,2.012121E7,AA,19805.0,AA,N473AA,545.0,12339.0,1233904.0,32337.0,IND,IndianapolisIN,IN,18.0,Indiana,42.0
9.0,7.0,2.0121208E7,AA,19805.0,AA,N5CNAA,505.0,13303.0,1330303.0,32467.0,MIA,MiamiFL,FL,12.0,Florida,33.0
7.0,5.0,2.0121208E7,OO,20304.0,OO,N417SW,2689.0,14107.0,1410702.0,30466.0,PHX,PhoenixAZ,AZ,4.0,Arizona,81.0
8.0,6.0,2.0121208E7,EV,20366.0,EV,N879AS,,10397.0,1039705.0,30397.0,ATL,AtlantaGA,GA,13.0,Georgia,34.0
19.0,3.0,2.012122E7,AA,19805.0,AA,N3ALAA,1640.0,13930.0,1393002.0,30977.0,ORD,ChicagoIL,IL,17.0,Illinois,41.0
27.0,4.0,2.0121228E7,MQ,20398.0,MQ,N675MQ,2708.0,11193.0,1119302.0,33105.0,CVG,CincinnatiOH,KY,21.0,Kentucky,52.0
12.0,3.0,2.0121212E7,UA,19977.0,UA,N408UA,482.0,11042.0,1104202.0,30647.0,CLE,ClevelandOH,OH,39.0,Ohio,44.0
7.0,5.0,2.0121208E7,US,20355.0,US,N668AW,265.0,13487.0,1348702.0,31650.0,MSP,MinneapolisMN,MN,27.0,Minnesota,63.0
14.0,5.0,2.0121214E7,MQ,20398.0,MQ,N6EAMQ,3682.0,13930.0,1393002.0,30977.0,ORD,ChicagoIL,IL,17.0,Illinois,41.0
28.0,5.0,2.0121228E7,MQ,20398.0,MQ,N834MQ,4225.0,13930.0,1393002.0,30977.0,ORD,ChicagoIL,IL,17.0,Illinois,41.0
15.0,6.0,2.0121216E7,WN,19393.0,WN,N635SW,2303.0,11259.0,1125903.0,30194.0,DAL,DallasTX,TX,48.0,Texas,74.0
16.0,7.0,2.0121216E7,B6,20409.0,B6,N779JB,40.0,15304.0,1530402.0,33195.0,TPA,TampaFL,FL,12.0,Florida,33.0
5.0,3.0,2.0121204E7,US,20355.0,US,N539UW,799.0,14100.0,1410002.0,34100.0,PHL,PhiladelphiaPA,PA,42.0,Pennsylvania,23.0
